# Logfile created on 2026-02-26 05:26:36 +0100 by logger.rb/v1.4.3
2026-02-26 05:26:36 +0100: Memory Usage (438184K) : recog_sbump has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438184K) : recog_otp has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438312K) : recog_pdiode has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438312K) : recog_mom has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438312K) : recog_pcm has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438440K) : colopen_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438440K) : graphmetal1_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438568K) : graphmetal1_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438568K) : graphmetal1_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438696K) : graphmetal1_slit has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438696K) : graphmetal1_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438696K) : graphmet1l_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438824K) : graphmet1l_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438824K) : graphmet1l_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438952K) : graphmet1l_slit has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438952K) : graphmet1l_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438952K) : extblock_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439080K) : nldd_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439080K) : pldd_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439208K) : next_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439208K) : pext_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439336K) : nexthv_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439336K) : pexthv_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439336K) : graphgate_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439464K) : sinwg_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439464K) : sinwg_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439592K) : sinwg_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439592K) : mempad_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439720K) : topvia1_drw has 8 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439720K) : topmetal1_drw has 5 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439720K) : topmetal1_pin has 1 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439848K) : topmetal1_mask has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439848K) : topmetal1_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439976K) : topmetal1_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (439976K) : topmetal1_slit has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440104K) : topmetal1_text has 1 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440104K) : topmetal1_noqrc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440104K) : topmetal1_res has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440232K) : topmetal1_iprobe has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440232K) : topmetal1_diffprb has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440360K) : inldpwl_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440360K) : polyres_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440360K) : polyres_pin has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440488K) : vmim_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440488K) : nbulaycut_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440616K) : antmetal1_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440616K) : topvia2_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440744K) : topmetal2_drw has 4 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440744K) : topmetal2_pin has 1 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440744K) : topmetal2_mask has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440872K) : topmetal2_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (440872K) : topmetal2_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441000K) : topmetal2_slit has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441000K) : topmetal2_text has 1 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441000K) : topmetal2_noqrc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441128K) : topmetal2_res has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441128K) : topmetal2_iprobe has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441256K) : topmetal2_diffprb has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441256K) : snsring_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441384K) : sensor_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441384K) : snsarms_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441384K) : snscmosvia_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441512K) : colwind_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441512K) : flm_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441640K) : hafniumox_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441640K) : memvia_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441768K) : thinfilmres_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441768K) : rfmem_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441768K) : norcx_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441896K) : norcx_m2m3 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (441896K) : norcx_m2m4 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442024K) : norcx_m2m5 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442024K) : norcx_m2tm1 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442024K) : norcx_m2tm2 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442024K) : norcx_m3m4 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442024K) : norcx_m3m5 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442024K) : norcx_m3tm1 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442024K) : norcx_m3tm2 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442152K) : norcx_m4m5 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442152K) : norcx_m4tm1 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442152K) : norcx_m4tm2 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442280K) : norcx_m5tm1 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442280K) : norcx_m5tm2 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442408K) : norcx_tm1tm2 has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442408K) : norcx_m1sub has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442408K) : norcx_m2sub has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442536K) : norcx_m3sub has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442536K) : norcx_m4sub has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442664K) : norcx_m5sub has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442664K) : norcx_tm1sub has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442792K) : norcx_tm2sub has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442792K) : snsbotvia_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442792K) : snstopvia_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442920K) : deepvia_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (442920K) : fgetch_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443048K) : ctrgat_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443048K) : fgimp_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443048K) : emwihv_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443176K) : lbe_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443176K) : alcustop_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443176K) : nometfiller_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443304K) : prboundary_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443304K) : exchange0_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443432K) : exchange0_pin has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443432K) : exchange0_text has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443432K) : exchange1_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (443560K) : exchange1_pin has 0 polygons
